"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"6328889",-118.071922169,33.8104,2013,"3013","0","3","2","12",0,1,"A",,,,,,600,12,"D","C","A","LOS ALAMITOS BL","CERRITOS AV",0,,"Y","2014-05-29",3013,"2013-12-11",543,"178",,"5","3","0","0",,"0",,"-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","C","A","0","Y","A","01",1,0,0,0,0,0,0,0,0,"-","-","LOS ALAMITOS","ORANGE","CA",0,0
"6326240",-117.981428887,33.8579,2013,"3001","3","2","2","01",0,1,"A",,,,,"Y",600,12,"E","I","A","RT 91","MAGNOLIA AV",1605,"W","N","2014-05-23",9670,"2013-12-24",359,"16194",,"3","7","0","1",,"2","091","-","Y",,0,0,,,0,,,,"Y",1,"A","-",23152,"A","N","A","H","-","D","D","0","Y","A","01",1,0,0,0,0,0,0,0,0,"-","-","ANAHEIM","ORANGE","CA",-117.983,33.85746
"6326125",-117.982489166,33.8576,2013,"3001","3","2","2","03",0,2,"A",,,,,"Y",600,12,"D","C","A","RT 91","MAGNOLIA AV",1954,"W","N","2014-05-23",9670,"2013-12-24",400,"16194",,"3","7","0","1",,"2","091","-","Y",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","D","D","0","Y","A","01",1,0,1,0,0,0,0,0,0,"-","-","ANAHEIM","ORANGE","CA",-117.983,38.85746
"6323176",-117.708792079,33.614,2013,"3045","0","2","2","08",0,2,"A",,,,,,2100,11,"D","C","A","EL TORO RD","AVENIDA DE LA CARLOTA",0,,"Y","2014-05-20",3000,"2013-11-26",2035,"6454","891F7","5","4","0","0",,"0","446","-","N",,0,0,,,0,,,,"Y",2,"A","-",22107,,"N","A","H","-","C","A","0","Y","A","01",1,0,1,0,0,0,0,0,0,"-","-","LAGUNA HILLS","ORANGE","CA",0,0
"6322643",-117.697340735,33.553,2013,"3040","0","7","2","09",0,2,"A",,,,,"Y",2400,12,"D","C","A","MOULTON PKWY","RANCHO NIGUEL",904,"N","N","2014-05-27",3000,"2013-12-08",2152,"5163","951H1","5","5","0","0",,"0","040","-","N",,0,0,,,0,,,,"Y",2,"A","-",21804,"A","N","A","H","-","C","D","0","Y","A","01",1,0,1,0,0,0,0,0,0,"-","-","LAGUNA NIGUEL","ORANGE","CA",0,0
"6322204",-117.944132178,33.7164,2013,"3007","0","5","1","11",1,0,"A","Y",,,,,2100,12,"G","B","D","WARNER AV","SAN RICARDO ST",0,,"Y","2014-07-30",3007,"2013-12-06",1916,"272","46","5","5","0","0",,"0","54M","-","N",,0,0,,,0,,,,"Y",2,"A","-",21950,"B","N","A","H","-","C","D","0","Y","N","60",0,0,0,1,0,0,0,0,0,"-","-","FOUNTAIN VALLEY","ORANGE","CA",0,0
"6322200",-117.942682107,33.7163,2013,"3007","0","1","2","08",0,2,"A",,,,,,900,12,"E","I","A","WARNER AV","LOS JARDINES WEST",378,"W","N","2014-06-10",3007,"2013-12-16",734,"270","46","5","5","0","0",,"0","56M","-","N",,0,0,,,0,,,,"Y",1,"A","-",22107,,"N","A","H","-","A","D","0","Y","A","07",1,1,0,0,0,0,0,0,0,"-","-","FOUNTAIN VALLEY","ORANGE","CA",0,0
"6321209",-117.915889203,33.7452,2013,"3019","0","4","2","01",0,1,"A",,,,,"Y",2100,11,"E","I","A","1ST ST","SUSAN",700,"W","N","2014-05-20",3019,"2013-11-07",1923,"2983","WE","5","7","0","0",,"0","001","-","N",,0,0,,,0,,,,"Y",1,"A","-",23152,"A","N","A","H","-","C","D","0","Y","A","01",1,0,0,0,0,0,0,0,0,"-","-","SANTA ANA","ORANGE","CA",0,0
"6320494",-117.860580704,33.7481,2013,"3019","0","2","2","11",0,1,"A","Y",,,,,600,10,"G","B","B","4TH ST","LACY ST",27,"W","N","2014-05-02",3019,"2013-10-15",516,"2859","NE","5","7","0","0",,"0","002","-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"D","N","A","H","-","C","A","0","Y","N","60",1,0,0,0,1,0,0,0,0,"-","-","SANTA ANA","ORANGE","CA",0,0
"6320296",-117.922665161,33.7888,2013,"3009","0","5","1","11",1,0,"A","Y",,,,"Y",2400,12,"G","B","D","CHAPMAN AV","DEBBIE LN",205,"W","N","2015-01-12",3009,"2013-12-27",2315,"1925","133","5","6","0","0",,"0","202","-","N",,0,0,,,0,,,,"N",2,"A","-",21954,"A","N","A","H","-","C","D","0","Y","N","60",0,0,0,1,0,0,0,0,0,"-","-","GARDEN GROVE","ORANGE","CA",0,0
"6320085",-117.848732321,33.7982,2013,"3015","0","4","2","11",0,1,"A","Y",,,,,1800,12,"G","B","B","SHAFFER ST","EVERETT PL",16,"S","N","2014-05-31",3015,"2013-12-05",1636,"919","16W","5","6","0","0",,"0","712","-","N",,0,0,,,0,,,,"N",2,"A","-",21950,"B","N","A","H","-","A","A","0","Y","N","60",1,0,0,0,1,0,0,0,0,"-","-","ORANGE","ORANGE","CA",0,0
"6320072",-117.835723752,33.7912,2013,"3015","0","5","2","08",0,4,"A",,,,,,2400,12,"C","C","A","TUSTIN ST","E PALM AV",72,"S","N","2014-05-29",3015,"2013-12-13",2145,"1329","26N","5","6","0","0",,"0","331","-","N",,0,0,,,0,,,,"Y",4,"A","-",22107,,"N","A","H","-","C","A","0","Y","A","01",1,1,2,0,0,0,0,0,0,"-","-","ORANGE","ORANGE","CA",0,0
"6313628",-117.778521387,33.8599,2013,"3001","3","5","2","03",0,1,"A",,,"Y",,,2100,12,"B","C","A","RT 91","IMPERIAL HWY",4200,"E","N","2014-05-22",9675,"2013-12-20",1935,"15114",,"2","7","0","1",,"2","094","-","Y",,0,0,,,0,,,,"Y",2,"A","-",22350,,"N","A","H","-","A","D","0","Y","C","02",1,0,0,0,0,0,0,0,1,"-","-","ANAHEIM","ORANGE","CA",-117.7779,33.85993
"6313203",-117.730932175,33.639,2013,"3026","0","7","2","12",0,2,"A",,,,,,900,11,"D","C","A","BAKE","RT 5",0,,"Y","2014-05-13",3026,"2013-11-24",633,"358",,"5","6","0","0",,"0","00C","-","Y",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","A","01",1,1,0,0,0,0,0,0,0,"-","SF","IRVINE","ORANGE","CA",0,0
"6313129",-118.042762248,33.7525,2013,"3024","0","7","2","01",0,1,"A",,,,,"Y",300,8,"E","I","A","BOLSA CHICA RD","CHURCHILL AV",0,,"Y","2014-04-01",3024,"2013-08-04",252,"312","914","5","5","0","0",,"0","WEST","-","N",,0,0,,,0,,,,"Y",1,"A","-",23152,"A","N","A","H","-","C","D","0","Y","A","01",1,0,0,0,0,0,0,0,0,"-","-","WESTMINSTER","ORANGE","CA",0,0
