"X"	"Y"	"Store ID"	"Name"
-117.8273925781	33.6082344055	6358	"Newport Coast & San Joaquin Hills"
-117.7461853027	33.6524009705	6605	"Irvine Spectrum Mall"
-118.0280609131	33.8480072021	6826	"Valley View & La Palma"
-118.0549926758	33.9026565552	6916	"Rosecrans & Shoemaker, Norwalk"
-117.8849029541	33.7158584595	6956	"Bristol & Warner"
-117.9026412964	33.7742652893	6982	"Fairview & Garden Grove"
-117.7451324463	33.6504745483	7259	"Target Irvine/Spectrum T-2128"
-117.9419937134	33.8308639526	7297	"Target Anaheim T-2421"
-117.9575881958	33.9158744812	7296	"Target La Habra T-2397"
-117.9727172852	33.7671394348	7377	"Magnolia & Trask"
-117.6668930054	33.6100997925	7479	"Target Mission Viejo 2163"
-117.7634735107	33.6684341431	7543	"Irvine Center Drive & Sand Canyon"
-118.0707473755	33.8033332825	7607	"Katella & Los Alamitos"
-118.1256027222	33.9017448425	7608	"Rosecrans & Bellflower, Bellflower"
-117.8273544312	33.7000007629	7636	"Target Irvine/Tustin T-2151"
-118.0120697021	33.7456741333	7638	"Target Westminster NW T-2304"
-117.958656311	33.8383750916	7842	"Brookhurst & Alameda"
-117.482093811	33.7711982727	7852	"Vons - South Corona #2818"
-117.9146728516	33.8177261353	7875	"Harbor & Ball"
-117.9140396118	33.8352088928	7994	"Lincoln & Anaheim"
-118.0068130493	33.8984298706	8008	"Rosecrans & La Mirada, La Mirada"
-118.1160736084	33.846862793	8103	"Del Amo & Woodruff, Lakewood"
-117.8264083862	33.7218513489	8111	"Red Hill & Edinger"
-118.0418014526	33.7228050232	8146	"Bolsa Chica & Heil"
-117.7406082153	33.8641586304	8160	"Weir Canyon & Monte Vista"
-117.756362915	33.8675689697	8185	"Vons-Anaheim Hills #2216"
-117.9326095581	33.9322662354	8242	"Harbor & La Habra"
-117.5570526123	33.9372062683	8245	"6th Street & Hamner"
-118.029258728	33.8877296448	8260	"Valley View & Alondra"
-117.5967483521	33.6432685852	8305	"Target Rancho Santa Margarita T-914"
-117.9965591431	33.9429550171	8466	"Target Whittier T-2019"
-118.1293258667	33.9277534485	8545	"Lakewood & Stewart and Gray, Downey"
-117.8971405029	33.6624298096	8624	"Newport & Del Mar"
-117.7762451172	33.891166687	8674	"Yorba Linda & Village Center Dr"
-117.900680542	33.9170265198	8695	"Brea & Imperial"
-117.8569946289	33.6640205383	8717	"Jamboree & Birch"
-117.5827789307	33.6497955322	8830	"Santa Margarita Pkwy & Antonio Pkwy"
-117.8646392822	33.6713981628	8833	"Mac Arthur & Campus"
-117.873374939	33.89112854	8867	"Albertsons-Fullerton #6119"
-117.5157699585	33.8235206604	8876	"Cajalco & Highway 15"
-117.9341583252	33.7043266296	8912	"Newhope & Southpark"
-117.9248352051	33.8602371216	9104	"Harbor & Orangethorpe"
-117.4568481445	33.9098815918	9124	"Galleria at Tyler Mall Floor 2"
-117.8842926025	33.7735862732	9152	"Bristol & Memory Lane"
-117.9197998047	33.6720428467	9162	"Harbor & Adams"
-117.562713623	33.9009628296	9250	"Target Norco T-736"
-117.8151397705	33.7343177795	9352	"Redhill & El Camino Real"
-117.7018890381	33.6557769775	9355	"Bake & Trabuco"
-117.9549713135	33.7295951843	9356	"Brookhurst & Edinger"
-117.8869400024	33.6983528137	9400	"Vons - Santa Ana #1626"
-118.0255050659	33.729839325	9407	"Vons-Huntington Beach #2090"
